"","long","lat","group","order","region","subregion"
"308",-111.428833007812,34.3889274597168,71,3470,"arizona","gila"
"309",-111.417373657227,34.3831977844238,71,3471,"arizona","gila"
"310",-111.400184631348,34.3774681091309,71,3472,"arizona","gila"
"311",-111.388725280762,34.3831977844238,71,3473,"arizona","gila"
"312",-111.388725280762,34.3889274597168,71,3474,"arizona","gila"
"313",-111.394454956055,34.4003829956055,71,3475,"arizona","gila"
"314",-111.400184631348,34.4118461608887,71,3476,"arizona","gila"
"315",-111.400184631348,34.4233016967773,71,3477,"arizona","gila"
"316",-111.388725280762,34.4347648620605,71,3478,"arizona","gila"
"317",-111.377265930176,34.4347648620605,71,3479,"arizona","gila"
"318",-111.36580657959,34.4347648620605,71,3480,"arizona","gila"
"319",-111.360076904297,34.4233016967773,71,3481,"arizona","gila"
"320",-111.337158203125,34.4175758361816,71,3482,"arizona","gila"
"321",-111.314239501953,34.4233016967773,71,3483,"arizona","gila"
"322",-111.297050476074,34.4347648620605,71,3484,"arizona","gila"
"323",-111.285591125488,34.4404945373535,71,3485,"arizona","gila"
"324",-111.256942749023,34.4404945373535,71,3486,"arizona","gila"
"325",-111.239753723145,34.4347648620605,71,3487,"arizona","gila"
"326",-111.21110534668,34.4118461608887,71,3488,"arizona","gila"
"327",-111.199645996094,34.4061164855957,71,3489,"arizona","gila"
"328",-111.182464599609,34.4061164855957,71,3490,"arizona","gila"
"329",-111.170997619629,34.3889274597168,71,3491,"arizona","gila"
"330",-111.165267944336,34.3831977844238,71,3492,"arizona","gila"
"331",-111.153816223145,34.3717384338379,71,3493,"arizona","gila"
"332",-111.142356872559,34.3774681091309,71,3494,"arizona","gila"
"333",-111.136627197266,34.3889274597168,71,3495,"arizona","gila"
"334",-111.125160217285,34.3889274597168,71,3496,"arizona","gila"
"335",-111.113700866699,34.3889274597168,71,3497,"arizona","gila"
"336",-111.096519470215,34.3889274597168,71,3498,"arizona","gila"
"337",-111.085052490234,34.3831977844238,71,3499,"arizona","gila"
"338",-111.06787109375,34.3831977844238,71,3500,"arizona","gila"
"339",-111.062141418457,34.3774681091309,71,3501,"arizona","gila"
"340",-111.06787109375,34.354549407959,71,3502,"arizona","gila"
"341",-111.044952392578,34.343090057373,71,3503,"arizona","gila"
"342",-111.033485412598,34.354549407959,71,3504,"arizona","gila"
"343",-111.022033691406,34.354549407959,71,3505,"arizona","gila"
"344",-110.981925964355,34.3373603820801,71,3506,"arizona","gila"
"345",-110.97046661377,34.3201713562012,71,3507,"arizona","gila"
"346",-110.91316986084,34.2972526550293,71,3508,"arizona","gila"
"347",-110.873062133789,34.2857933044434,71,3509,"arizona","gila"
"348",-110.844413757324,34.2571449279785,71,3510,"arizona","gila"
"349",-110.844413757324,34.2686042785645,71,3511,"arizona","gila"
"350",-110.832954406738,34.2857933044434,71,3512,"arizona","gila"
"351",-110.827224731445,34.2915229797363,71,3513,"arizona","gila"
"352",-110.832954406738,34.3029823303223,71,3514,"arizona","gila"
"353",-110.844413757324,34.3087120056152,71,3515,"arizona","gila"
"354",-110.832954406738,34.3144416809082,71,3516,"arizona","gila"
"355",-110.821502685547,34.3087120056152,71,3517,"arizona","gila"
"356",-110.79857635498,34.3029823303223,71,3518,"arizona","gila"
"357",-110.792846679688,34.3144416809082,71,3519,"arizona","gila"
"358",-110.781394958496,34.3144416809082,71,3520,"arizona","gila"
"359",-110.775665283203,34.2972526550293,71,3521,"arizona","gila"
"360",-110.775665283203,34.2686042785645,71,3522,"arizona","gila"
"361",-110.752738952637,34.2628746032715,71,3523,"arizona","gila"
"362",-110.013626098633,33.586784362793,72,3525,"arizona","graham"
"363",-109.973518371582,33.586784362793,72,3526,"arizona","graham"
"364",-109.956329345703,33.5753288269043,72,3527,"arizona","graham"
"365",-109.921951293945,33.586784362793,72,3528,"arizona","graham"
"366",-109.899032592773,33.5581359863281,72,3529,"arizona","graham"
"367",-109.887573242188,33.5524101257324,72,3530,"arizona","graham"
"368",-109.85319519043,33.5409469604492,72,3531,"arizona","graham"
"369",-109.836013793945,33.5008430480957,72,3532,"arizona","graham"
"370",-109.807357788086,33.5008430480957,72,3533,"arizona","graham"
"371",-109.795906066895,33.4893836975098,72,3534,"arizona","graham"
